x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	y
-0.49693	-0.33912	0.22915	-0.18257	-1.04110	0.42155	-1.01518	0.76767	-1.63382	-0.45398	-0.12373	0.12313	0.97783	0.37006	0.26682	0.15331	-0.32012	-1.17927	0.45781	0.35601	0
0.01250	1.00744	0.14010	2.86840	-2.12351	-1.28046	-1.32339	1.42063	-2.72553	-1.32592	0.18471	-0.05478	1.85263	-1.25492	0.18948	0.27748	-0.19939	-1.76385	0.93792	0.45936	0
-0.72021	-1.24449	-0.47229	-1.12565	-0.72967	1.01084	0.73348	0.25734	0.02857	-1.09158	-0.70755	-0.50530	0.41108	0.44983	3.52906	0.03935	0.65270	0.41395	-0.53879	-0.26636	0
-0.69736	-0.08270	-0.51291	1.13815	2.29750	-2.07236	2.25681	-1.69729	3.61892	0.99300	0.35906	-0.27849	-2.16101	1.13619	0.15403	-0.33909	0.71646	2.61659	1.33423	-0.79153	1
-0.20234	-1.55304	-0.09079	-0.18325	0.66401	-0.32661	0.52109	-0.46506	0.93939	0.35719	-0.08378	-0.02679	-0.59967	-1.40356	1.98538	-0.09182	0.12746	0.64364	2.25404	-0.18194	1
-0.35977	0.16002	0.13163	-1.32605	-2.05032	-0.15590	-1.26947	1.37006	-2.62484	-1.28467	1.11740	-0.05630	1.78721	0.50178	-0.54829	0.26752	-0.18747	-1.69593	1.44850	0.44057	0
-1.36447	0.24961	-0.34111	-0.92827	1.38659	-0.38602	1.43409	-1.03835	2.24262	0.56073	-0.18429	-0.19758	-1.31789	-2.44070	-0.91576	-0.20805	0.47613	1.64103	-0.20584	-0.50343	1
0.17529	1.69572	0.22295	-1.33673	-0.63652	0.01882	-0.80984	0.50609	-1.15255	-0.17632	0.15669	0.15273	0.63374	1.89729	-1.17165	0.10264	-0.31053	-0.88339	1.02353	0.28519	0
-0.36524	1.68919	1.31549	-1.67117	2.06701	-1.23243	-2.02664	-0.73892	-0.03936	3.06483	1.22395	1.41047	-1.17421	1.66992	0.95246	-0.11388	-1.81790	-1.12870	-0.19762	0.73628	1
-0.63685	-1.77944	0.09911	0.74102	-0.25017	0.83050	-0.34450	0.20400	-0.47427	-0.05526	-0.76635	0.07076	0.25405	-0.53300	-0.90580	0.04158	-0.13796	-0.36969	-0.07879	0.12145	1
-1.91735	0.69895	-1.03336	-1.47113	-1.21619	-0.85382	1.78458	0.31974	0.50410	-2.12023	-0.11765	-1.07233	0.57850	-0.62904	-0.64318	0.03910	1.42903	1.17243	0.01503	-0.64461	0
2.02431	-0.42924	0.15352	-1.36317	-1.77430	-1.42396	-1.18901	1.20318	-2.34494	-1.06332	-1.59812	-0.01169	1.56377	0.58855	-0.26665	0.23577	-0.21713	-1.54526	0.46217	0.41354	0
0.93381	-0.05151	-0.35190	0.50323	1.40462	-0.59082	1.46724	-1.05467	2.28356	0.56026	-0.11519	-0.20609	-1.33778	0.37536	1.24504	-0.21143	0.49113	1.67482	-1.18309	-0.51515	1
-1.20602	0.36023	-0.58100	-0.88597	-1.30152	2.00243	0.71145	0.57495	-0.43384	-1.62759	-1.00063	-0.65694	0.84652	0.54132	-0.30757	0.09832	0.80194	0.22598	-0.85510	-0.26202	0
-0.99359	0.04129	0.37411	0.13592	3.20480	0.20085	0.66038	-1.88433	3.02753	2.71662	0.33444	0.63002	-2.54227	1.03716	0.10079	-0.35577	-0.51053	1.51436	1.47807	-0.21600	1
-1.97010	-1.86654	0.21017	0.89260	-0.98170	1.41960	-0.94378	0.72125	-1.52965	-0.43530	-0.68463	0.11059	0.91948	1.00751	-0.60042	0.14392	-0.29367	-1.10042	0.79063	0.33088	0
-1.19452	-0.46117	-0.01243	0.28580	0.22622	0.84580	0.13530	-0.15024	0.28574	0.14430	-1.39450	0.00816	-0.19629	0.75656	0.51406	-0.02929	0.01779	0.18303	1.05389	-0.04691	1
-0.75967	0.30613	-0.07011	0.66365	-0.91258	1.31116	-0.27120	0.55272	-0.92964	-0.72906	-1.19187	-0.14535	0.73970	-0.23106	0.86407	0.10523	0.09490	-0.50261	1.94353	0.09119	0
1.45212	0.79186	-0.20108	0.01415	-1.41251	-0.89633	-0.20842	0.81446	-1.26726	-1.24158	0.85247	-0.31152	1.10482	-0.57064	0.21930	0.15291	0.27517	-0.59651	-1.22918	0.06570	1
0.88141	0.23145	0.22097	0.72114	-1.66591	-0.87832	-1.29178	1.16376	-2.34416	-0.90448	-0.21567	0.06084	1.50153	0.64649	-0.37801	0.22963	-0.31033	-1.60144	-0.87296	0.45090	0
-0.48083	-0.98499	0.33840	0.69617	0.04839	0.02263	-0.74974	0.11912	-0.57134	0.44764	-0.07907	0.32056	0.10580	0.19868	-1.40556	0.03043	-0.46883	-0.62931	-0.57912	0.26796	0
-0.38282	-0.85650	0.22186	-0.12373	-0.58697	-0.99386	-0.78393	0.47391	-1.09299	-0.14271	-1.26450	0.15604	0.59145	0.09767	0.42019	0.09640	-0.30890	-0.84650	-1.79311	0.27625	0
-0.60747	0.15713	0.09265	-0.40436	0.96423	0.29528	0.24414	-0.57577	0.94781	0.79302	-0.66685	0.17095	-0.77352	0.17619	-0.77650	-0.10918	-0.12601	0.49465	0.19792	-0.08121	1
0.69382	1.46785	-0.52299	1.16653	-0.93265	-1.02596	0.75331	0.36471	-0.11311	-1.29664	2.59882	-0.57045	0.56039	-0.03026	0.60729	0.05898	0.72246	0.37096	-1.72406	-0.27469	0
0.12391	2.53037	-0.23014	0.61496	1.20405	0.48473	1.09445	-0.87235	1.82487	0.56765	-0.23079	-0.10981	-1.11576	-0.22789	-0.30180	-0.17355	0.32190	1.29550	-0.79699	-0.38330	1
1.74431	1.59202	-0.25707	0.66360	0.88114	-0.10381	1.00334	-0.67772	1.49986	0.30708	-1.44320	-0.16323	-0.85495	-0.58774	-1.18046	-0.13654	0.35842	1.12182	0.63819	-0.35277	1
1.80435	0.42589	0.25098	-0.19090	-0.66536	0.18971	-0.88747	0.53697	-1.23802	-0.16239	-0.64149	0.17641	0.67022	0.01915	-0.66198	0.10922	-0.34946	-0.95856	0.48787	0.31273	0
0.24691	0.25219	-0.35347	-1.12520	1.39252	1.14336	1.46511	-1.04762	2.27242	0.54981	-2.20291	-0.20861	-1.32825	-1.97031	0.18486	-0.21011	0.49327	1.66941	-0.22057	-0.51447	1
0.78519	0.76903	-0.96160	-1.77768	-0.76809	-0.63085	1.83250	0.06490	0.89135	-1.71661	-0.00511	-0.96606	0.23146	-0.52739	-0.29787	-0.00855	1.33069	1.34605	0.39876	-0.65896	0
0.41315	-0.13834	-0.57928	-0.23321	1.94437	0.27752	2.24145	-1.50081	3.33195	0.66294	3.15777	-0.37142	-1.89178	-0.37742	0.32019	-0.30260	0.80756	2.49901	0.90679	-0.78822	1
-1.30737	-0.42360	0.60547	-1.59787	-0.99502	-0.98465	-1.85261	0.90509	-2.27818	0.03839	-0.97412	0.47894	1.10202	-1.36562	-0.79252	0.18810	-0.84152	-1.88455	0.70343	0.65526	1
